Name, lon, lat
Cumberland Market (registered patients only), 51.52942, -0.14171
Regents Park Children's centre, 51.53064, -0.14115
Somers Town Living Space, 51.53031, -0.12918
James Wigg (only registered patients), 51.54619, -0.13997
Agar Grove Childrens Centre, 51.54189, -0.13323
Caversham only registered patients),51.54999, -0.13743
Bemerton Children's Centre,51.54066, -0.11799
Killick Street, 51.53424, -0.11908
New River Green CC, 51.54508, -0.0899
Packington Children's Centre, 51.53595, -0.09611
Moreland Childrens Centre, 51.52899, -0.09889
Golden Lane Children's Centre, 51.52182, -0.09308
Amwell (only registered patient), 51.52795, -0.11092
Hunter Street, 51.52567, -0.12325
Soho Square, 51.51452, -0.13191
